Becker_et_al_2023,Chemical Name,InChIKey,Score,Note,
4-aminobenzoic acid,4-Aminobenzoic Acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,1,,
guanosine,Guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,1,,
l-glutathione,Glutathione,RWSXRVCMGQZWBV-WDSKDSINSA-N,1,,
l-glutathione Oxidized,Oxidized Glutathione,YPZRWBKMTBYPTK-BJDJZHNGSA-N,1,,
l-kynurenine,Kynurenine,YGPSJZOEDVAXAB-UHFFFAOYSA-N,1,,
l-leucine,Leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N,1,,
l-tyrosine,Tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,1,,
n-acetyl Muramic acid Loss H2o,N-Acetylmuramate,MNLRQHMNZILYPY-MKFCKLDKSA-N,1,,
pantothenic acid ,Pantothenic Acid ,GHOKWGTUZJEAQD-ZETCQYMHSA-N,1,,
phenylalanine,Phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,1,,
thymidine,Thymidine,IQFYYKKMVGJFEH-XLPZGREQSA-N,1,,
tryptamine,Tryptamine,APJYDQYYACXCRM-UHFFFAOYSA-N,1,,
tryptophan,Tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,1,,
adenosine-5-monophosphate,Adenosine-5-Monophosphate,UDMBCSSLTHHNCD-KQYNXXCUSA-N,1,,
isoleucine,Isoleucine,AGPKZVBTJJNPAG-WHFBIAKZSA-N,1,,
chitotriose,Chitotriose,WZZVUHWLNMNWLW-VFCSDQTKSA-N,0,,manual from pubchem
inosine,Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,1,,
malic acid,Malic Acid,BJEPYKJPYRNKOW-UHFFFAOYSA-N,1,,
s-5-adenosyl-l-homocysteine,S-Adenosyl Homocysteine,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,1,,
syringic acid,Syringic Acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,1,,
xanthine,Xanthine,LRFVTYWOQMYALW-UHFFFAOYSA-N,1,,
xanthosine,Xanthosine,UBORTCNDUKBEOP-UUOKFMHZSA-N,1,,
5-deoxy-5-methylthioadenosine,5'-Deoxy-5'-Methylthioadenosine,WUUGFSXJNOTRMR-IOSLPCCCSA-N,1,,
adenosine,Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,1,,
"2,3-dihydroxypropane-1-sulfonate","2,3-Dihydroxypropane-1-Sulfonate",YPFUJZAAZJXMIP-UHFFFAOYSA-M,0,,
3-hydroxybenzoic acid,3-Hydroxybenzoic Acid,IJFXRHURBJZNAO-UHFFFAOYSA-N,1,,
riboflavin,Riboflavin,AUNGANRZJHBGPY-SCRDCRAPSA-N,1,,
caffeine,Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,1,,
citric acid,Citric Acid,KRKNYBCHXYNGOX-UHFFFAOYSA-N,1,,
NAD,NAD,BAWFJGJZGIEFAR-NNYOXOHSSA-O,1,,
"2,3-dihydroxybenzoic acid","2,3-Dihydroxybenzoic Acid",GLDQAMYCGOIJDV-UHFFFAOYSA-N,1,,
indole-3-acetic acid,Indole-3-Acetic Acid,SEOVTRFCIGRIMH-UHFFFAOYSA-N,1,,
3-mercaptoproprionate,3-Mercaptopropionic acid,DKIDEFUBRARXTE-UHFFFAOYSA-N,0,,manual from pubchem
biotin,Biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,1,,
sodium taurocholate,Taurocholate,WBWWGRHZICKQGZ-HZAMXZRMSA-N,0,,
desthiobiotin,Desthiobiotin,AUTOLBMXDDTRRT-UHFFFAOYSA-N,1,,
cyanocobalamin,Cyanocobalamin,FDJOLVPMNUYSCM-WZHZPDAFSA-L,0,,
D-Ribose-5-phosphate,D-Ribose-5-Phosphate,KTVPXOYAKDPRHY-SOOFDHNKSA-N,1,,
n-acetyl-Glutamic acid,N-Acetyglutamic Acid,RFMMMVDNIPUKGG-YFKPBYRVSA-N,1,,
