Fiore_et_al_2017,Chemical Name,InChIKey,Score,Note
Tryptophan,Tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,1,
Kynurenine,Kynurenine,YGPSJZOEDVAXAB-UHFFFAOYSA-N,0,manual from pubchem
Phenylalanine,Phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,1,
Tryptamine,Tryptamine,APJYDQYYACXCRM-UHFFFAOYSA-N,1,
Tyrosine,Tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,1,
4-hydroxybenzoic acid,4-Hydroxybenzoic Acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,1,
4-aminobenzoic acid,4-Aminobenzoic Acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,1,
Glycerol-3-phosphate,Glycerol 3-Phosphate,AWUCVROLDVIAJX-GSVOUGTGSA-N,1,
MTA,5'-Deoxy-5'-Methylthioadenosine,WUUGFSXJNOTRMR-IOSLPCCCSA-N,1,
Adenosine,Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,1,
Guanosine,Guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,1,
Inosine,Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,1,
Xanthosine,Xanthosine,UBORTCNDUKBEOP-UUOKFMHZSA-N,1,
Caffeine,Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,1,
Pantothenic acid,Pantothenic Acid,GHOKWGTUZJEAQD-ZETCQYMHSA-N,1,
Riboflavin,Riboflavin,AUNGANRZJHBGPY-SCRDCRAPSA-N,1,
