Weber_et_al_2020,Chemical Name,InChIKey,Score,Note
"2,3 – Dihydroxypropane – 1– sulfonate","2,3-Dihydroxypropane-1-Sulfonate",YPFUJZAAZJXMIP-UHFFFAOYSA-M,1,
4 – Aminobenzoic acid,4-Aminobenzoic Acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,1,
4 – Hydroxybenzoic acid,4-Hydroxybenzoic Acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,1,
5? – Methylthioadenosine (MTA),5'-Deoxy-5'-Methylthioadenosine,WUUGFSXJNOTRMR-IOSLPCCCSA-N,1,
NAD,NAD,BAWFJGJZGIEFAR-NNYOXOHSSA-O,1,misannotated in manuscript as NADH
Adenosine 5? – monophosphate ,Adenosine-5-Monophosphate,UDMBCSSLTHHNCD-KQYNXXCUSA-N,1,
Adenosine,Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,0,manual from pubchem
Caffeine,Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,1,
Chitobiose,"N,N'-Diacetylchitobiose",CDOJPCSDOXYJJF-CBTAGEKQSA-N,1,
Chitotriose,Chitotriose,WZZVUHWLNMNWLW-VFCSDQTKSA-N,0,manual from pubchem
Citric acid,Citric Acid,KRKNYBCHXYNGOX-UHFFFAOYSA-N,1,
Desthiobiotin,Desthiobiotin,AUTOLBMXDDTRRT-UHFFFAOYSA-N,1,
Glutathione (oxidized),Oxidized Glutathione,YPZRWBKMTBYPTK-BJDJZHNGSA-N,1,
Guanosine,Guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,1,
Inosine,Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,1,
Kynurenine,Kynurenine,YGPSJZOEDVAXAB-UHFFFAOYSA-N,0,manual from pubchem
Leucine,Leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N,1,
Malic acid,Malic Acid,BJEPYKJPYRNKOW-UHFFFAOYSA-N,1,
N – acetylmuramic acid,N-Acetylmuramate,MNLRQHMNZILYPY-MKFCKLDKSA-N,1,
Pantothenic acid,Pantothenic Acid,GHOKWGTUZJEAQD-ZETCQYMHSA-N,1,
Phenylalanine,Phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,1,
Pyridoxine,Pyridoxine,LXNHXLLTXMVWPM-UHFFFAOYSA-N,1,
Riboflavin,Riboflavin,AUNGANRZJHBGPY-SCRDCRAPSA-N,1,
S – 5?adenosyl – L – homocysteine,S-Adenosyl Homocysteine,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,0,manual from pubchem
Syringic acid,Syringic Acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,1,
Taurocholic acid,Taurocholate,WBWWGRHZICKQGZ-HZAMXZRMSA-N,0,
Thymidine,Thymidine,IQFYYKKMVGJFEH-XLPZGREQSA-N,1,
Tryptamine,Tryptamine,APJYDQYYACXCRM-UHFFFAOYSA-N,1,
Tryptophan,Tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,1,
Tyrosine,Tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,1,
Xanthine,Xanthine,LRFVTYWOQMYALW-UHFFFAOYSA-N,1,
Xanthosine,Xanthosine,UBORTCNDUKBEOP-UUOKFMHZSA-N,1,
4-Amino-5-aminomethyl-2-methylpyrimidine (AmMP),5-(Aminomethyl)-2-Methyl-4-Pyrimidinamine,OZOHTVFCSKFMLL-UHFFFAOYSA-N,1,
?-aminobutyric acid (GABA),GABA,BTCSSZJGUNDROE-UHFFFAOYSA-N,1,
Acetyltaurine,N-Acetyltaurine,CXJAAWRLVGAKDV-UHFFFAOYSA-N,1,
Adenine,Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,1,
Alpha – ketoglutaric acid,2-Oxoglutaric Acid,KPGXRSRHYNQIFN-UHFFFAOYSA-N,1,
Arginine,Arginine,ODKSFYDXXFIFQN-BYPYZUCNSA-N,1,
Choline,Choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N,1,
Ciliatine,Ciliatine,QQVDJLLNRSOCEL-UHFFFAOYSA-N,1,
Citrulline,Citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,1,
Dihydroxyacetone phosphate,Dihydroxyacetone Phosphate,GNGACRATGGDKBX-UHFFFAOYSA-N,1,
Ectoine,Ectoine,WQXNXVUDBPYKBA-YFKPBYRVSA-N,1,
Fosfomycin,Fosfomycin,YMDXZJFXQJVXBF-STHAYSLISA-N,1,
Glucose 6-phosphate,Glucose 6-Phosphate,NBSCHQHZLSJFNQ-GASJEMHNSA-N,1,
Glutamic acid,Glutamic Acid,WHUUTDBJXJRKMK-VKHMYHEASA-N,1,
Guanine,Guanine,UYTPUPDQBNUYGX-UHFFFAOYSA-N,1,
Proline,Proline,ONIBWKKTOPOVIA-BYPYZUCNSA-N,1,
Sn-glycerol 3-phosphate,Glycerol 3-Phosphate,AWUCVROLDVIAJX-GSVOUGTGSA-N,1,
Succinic acid,Succinic Acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,1,
Threonine/homoserine,,,,
Uridine 5-monophosphate,Uridine-5-Monophosphate,DJJCXFVJDGTHFX-XVFCMESISA-N,1,
Valine,Valine,KZSNJWFQEVHDMF-BYPYZUCNSA-N,1,
