CINAR_BC (from transition list),Chemical Name,InChIKey,Score,Note
3'AMP,Adenosine-3-Monophosphate,LNQVTSROQXJCDD-KQYNXXCUSA-N,1,
4-aminobenzoic acid,4-Aminobenzoic Acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,1,
5'AMP,Adenosine-5-Monophosphate,UDMBCSSLTHHNCD-KQYNXXCUSA-N,1,
adenine,Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,1,
alanine,Alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,1,
arginine,Arginine,ODKSFYDXXFIFQN-BYPYZUCNSA-N,1,
asparagine,Asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,1,
aspartate,Aspartate,CKLJMWTZIZZHCS-REOHCLBHSA-N,1,
ciliatine,Ciliatine,QQVDJLLNRSOCEL-UHFFFAOYSA-N,1,
citrulline,Citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,1,
cysteate,Cysteate,XVOYSCVBGLVSOL-UHFFFAOYSA-N,1,
cysteine 2,Cysteine,XUJNEKJLAYXESH-REOHCLBHSA-N,1,
cysteine dimer,Cystine,LEVWYRKDKASIDU-IMJSIDKUSA-N,1,
cytidine,Cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,1,
cytosine,Cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,1,
ectoine,Ectoine,WQXNXVUDBPYKBA-YFKPBYRVSA-N,1,
GABA,GABA,BTCSSZJGUNDROE-UHFFFAOYSA-N,1,
glucose 6-phosphate,Glucose 6-Phosphate,NBSCHQHZLSJFNQ-GASJEMHNSA-N,1,
glutamic acid,Glutamic Acid,WHUUTDBJXJRKMK-VKHMYHEASA-N,1,
glutamine,Glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,1,
glutathione 2,Glutathione,RWSXRVCMGQZWBV-WDSKDSINSA-N,1,
sn-glycerol 3-phosphate,Glycerol 3-Phosphate,AWUCVROLDVIAJX-GSVOUGTGSA-N,1,
glycine,Glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,1,
guanosine,Guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,1,
histidine,Histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N,1,
homoserine,Homoserine,UKAUYVFTDYCKQA-VKHMYHEASA-N,1,
isethionate,Isethionate,SUMDYPCJJOFFON-UHFFFAOYSA-M,1,
isoleucine,Isoleucine,AGPKZVBTJJNPAG-WHFBIAKZSA-N,1,
leucine,Leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N,1,
lysine 2,Lysine,KDXKERNSBIXSRK-YFKPBYRVSA-N,1,
homoserine betaine,Homoserine Betaine,ILXTZIAPBIBHND-LURJTMIESA-N,0,from molport
N-acetyl-muramic acid lose H2O,N-Acetylmuramate,MNLRQHMNZILYPY-MKFCKLDKSA-N,1,
ornithine 2,Ornithine,AHLPHDHHMVZTML-BYPYZUCNSA-N,1,
pantothenic acid,Pantothenic Acid,GHOKWGTUZJEAQD-ZETCQYMHSA-N,1,
phenylalanine,Phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,1,
proline,Proline,ONIBWKKTOPOVIA-BYPYZUCNSA-N,1,
putrescine,Putrescine,KIDHWZJUCRJVML-UHFFFAOYSA-N,1,
sarcosine,Sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,1,
serine,Serine,MTCFGRXMJLQNBG-REOHCLBHSA-N,1,
spermidine 3,Spermidine,ATHGHQPFGPMSJY-UHFFFAOYSA-N,1,
taurine,Taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,1,
threonine,Threonine,AYFVYJQAPQTCCC-GBXIJSLDSA-N,1,
thymidine,Thymidine,IQFYYKKMVGJFEH-XLPZGREQSA-N,1,
tryptophan,Tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,1,
tyrosine,Tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,1,
uridine,Uridine,DRTQHJPVMGBUCF-XVFCMESISA-N,1,
valine,Valine,KZSNJWFQEVHDMF-BYPYZUCNSA-N,1,
